的	u
叱	dvb
哂	dvx
胄	dvy
咋	dwa
鸣	dxn
呜	dxu
呱	dyg
唬	dzh
叩	dzj
呵	dzk
嘛	dzm
札	eae
窑	eaf
槐	eag
乞	eai
穹	ebg
柳	ebm
杯	ecb
枯	ecg
杰	ech
枝	eci
极	ecj
杏	edk
杆	eeg
林	eem
杉	ees
本	efi
标	efs
杜	egt
样	egy
平	ehb
李	ehi
枚	ehp
栅	eic
术	eid
根	eig
村	ekc
核	ekh
究	ekj
每	ekm
穿	ely
突	emq
横	enh
午	ens
枉	enw
梓	enx
机	eoj
杳	eor
刊	epd
相	eqm
帘	erj
权	ery
格	esg
穷	esl
析	etj
柏	eub
杠	eug
杠	eugm
空	eug
空	eugx
椎	eui
杞	evj
年	evk
栖	evx
窄	ewa
橡	ewx
须	ewy
朴	eyb
窒	eyi
柑	ezg
柯	ezk
栩	ezv
礼	fae
丈	fbi
互	fbj
妄	fbn
蜃	fcc
骷	fcg
灭	fch
亚	fcy
唇	fdk
氓	fdm
视	fej
末	fem
祖	ffq
骨	fgg
社	fgt
祥	fgy
敝	fhp
忘	fhx
辱	fkc
骸	fkh
县	fks
开	flc
天	fmd
于	fns
万	fpd
兀	fpe
盲	fqm
骰	frs
屯	fsc
骼	fsg
正	fsi
助	fsl
祁	fte
祁	ftei
邙	fte
邙	ftew
祈	ftj
百	fub
祀	fvs
祚	fwa
下	fyb
亭	gad
羌	gae
盖	gam
姜	gbn
坛	gby
坏	gcb
羔	gch
羔	gchy
赤	gch
赤	gcht
圾	gcj
声	gcs
吉	gdk
埋	gdl
坎	geq
地	gey
圭	ggt
幸	ggy
享	ghi
敲	ghp
志	ghx
志	ghxs
恙	ghx
恙	ghxy
垃	gil
豪	gjs
寺	gkc
去	gks
坊	glf
歼	glq
美	gmd
埔	gnf
坝	gob
圳	goc
亮	goj
旧	gor
列	gpd
着	gqm
亨	grl
坡	grp
殁	grs
址	gsi
违	guc
差	gug
堆	gui
死	gvb
毫	gvm
坟	gvw
膏	gvy
坞	gxu
京	gyx
坷	gzk
翔	gzv
孔	hae
愧	hag
忆	hai
孟	ham
恬	has
父	hbi
怀	hcb
鼓	hci
喜	hdk
规	hej
条	hem
欲	heq
彭	hes
祭	hfs
忙	hfw
丫	hgs
夹	hhb
孜	hhp
恨	hig
忖	hkc
孩	hkh
公	hks
并	hlc
忏	hlq
性	hls
关	hmd
恍	hmg
首	hoi
忧	hoy
怅	hpc
分	hpd
备	hqt
恪	hsg
务	hsl
弟	htf
忻	htj
必	htp
兰	hts
怕	hub
惟	hui
半	hus
冬	hwb
悚	hxs
处	hyb
孤	hyg
孙	hyx
酋	hyy
登	hzd
幻	iae
盘	iam
义	ibi
缅	ibm
妾	ibn
纸	ibs
纭	iby
级	icj
童	idl
绳	idm
既	idu
舰	iej
亲	iem
组	ifq
垦	igt
纬	igw
典	ihb
收	ihp
恳	ihx
良	iig
纠	iij
丝	iis
纶	ijl
纣	ikc
永	iks
纺	ilf
纺	ilfs
舫	ilf
舫	ilfo
纤	ilq
主	inw
删	ipd
细	iqt
绯	irf
般	irs
络	isg
幼	isl
矛	itp
舶	iub
退	iuc
红	iug
维	iui
纪	ivj
纹	ivw
豫	iwx
预	iwy
产	ixc
乡	ixx
即	izj
翊	izv
今	jae
傀	jag
亿	jai
们	jam
舍	jas
会	jby
估	jcg
伙	jch
伎	jci
合	jdk
俚	jdl
休	jem
他	jey
个	jgs
个	jgsg
仕	jgs
仕	jgsu
伟	jgw
佯	jgy
俗	jhg
仔	jhi
位	jil
伦	jjl
从	jjr
付	jkc
仇	jkj
令	jks
仿	jlf
伢	jly
仁	jme
俩	jml
伏	jmq
什	jns
全	jnw
优	joy
介	jpd
伐	jpg
代	jpi
促	jpu
佬	jql
件	jqn
佃	jqt
仅	jry
企	jsi
倘	jss
信	jsy
佛	jtf
依	jti
佣	jty
伯	jub
逐	juc
化	jvb
仍	jvn
仙	jvs
作	jwa
伍	jwu
像	jwx
余	jxh
仆	jyb
侄	jyi
仓	jzj
何	jzk
汀	kad
沣	kaf
益	kam
活	kas
汝	kbn
津	kbv
浊	kcc
沽	kcg
汲	kcj
台	kdk
泯	kdm
油	kdy
汗	keg
杂	kem
杂	kemj
沐	kem
沐	kems
池	key
滑	kfg
沮	kfq
洋	kgy
兴	khb
浴	khg
沁	khx
丸	kid
泣	kil
沦	kjl
弁	klc
汐	klx
沪	kmh
浦	knf
汇	knk
汁	kns
汪	knw
贯	kob
旭	kor
旭	korj
汩	kor
汩	kors
汩	korg
沓	kor
沓	kord
矣	kos
刻	kpd
允	kpe
泪	kqm
牟	kqn
济	kqq
波	krp
没	krs
汉	kry
洛	ksg
劾	ksl
淌	kss
沸	ktf
沂	ktj
甬	kty
泊	kub
过	kuc
江	kug
淮	kui
毋	kuu
汽	kvq
汕	kvs
汶	kvw
洒	kvx
渔	kwv
漉	kxl
鸠	kxn
泗	kys
酒	kyy
河	kzk
世	lae
艺	lai
艾	lbi
耍	lbn
芸	lby
茧	lcc
苦	lcg
名	ldk
重	ldl
芜	ldu
芒	lfw
蒿	lgg
苟	lgj
苇	lgw
共	lhb
芙	lhf
放	lhp
芯	lhx
龈	lig
耐	lkc
芳	llf
多	llx
芽	lly
芭	lmb
芦	lmh
茂	lnu
莘	lnx
昔	lor
熏	lph
茸	lqe
苗	lqt
菲	lrf
芝	lri
芷	lsi
卅	lss
邪	lte
芹	ltj
迁	luc
雅	lui
茜	lvx
鸦	lxn
外	lyb
节	lzj
苛	lzk
亏	mae
夷	mbg
冈	mbi
独	mcc
狄	mch
启	mdk
狸	mdl
砚	mej
砍	meq
猾	mfg
凹	mfi
狙	mfq
奈	mfs
狗	mgj
冉	mgt
扁	mic
太	mid
狠	mig
内	mjr
夺	mkc
泵	mks
房	mlf
央	mmd
戾	mmq
磺	mnh
码	mnm
狂	mnw
狈	mob
矶	moj
犹	moy
套	mpc
元	mpe
耷	mqe
奋	mqt
扉	mrf
破	mrp
狒	mtf
所	mtj
所	mtjh
斫	mtj
斫	mtjs
达	muc
雇	mui
肩	mvy
硕	mwy
矿	mxg
狐	myg
犯	mzj
犯	mzjq
犯	mzjf
奇	mzk
丹	mzt
扇	mzv
成	nae
瑰	nag
区	nbi
环	ncb
融	ncc
灰	nch
右	ndk
右	ndks
叵	ndk
叵	ndkk
理	ndl
现	nej
勿	nes
驰	ney
甫	nff
戌	nfi
驹	ngj
玫	nhp
珊	nic
勺	nid
勺	nidk
戍	nid
戍	nidu
玉	nid
玉	nidw
骇	nkh
勾	nks
卉	nlc
卉	nlcs
弄	nlc
弄	nlcw
驮	nmd
驴	nmh
匍	nnf
璜	nnh
巨	nnk
玛	nnm
匡	nnw
驯	noc
玑	noj
旬	nor
医	nos
匹	npe
臧	nqc
珥	nqe
甸	nqt
匪	nrf
匝	nrj
匝	nrjk
布	nrj
布	nrjs
玻	nrp
友	nry
友	nrys
驭	nry
驭	nrym
骆	nsg
匣	nsj
匠	ntj
珑	ntl
才	ntp
珀	nub
左	nug
戊	nuu
包	nvs
有	nvy
匀	nwb
顼	nwy
辣	nxs
琥	nzh
珂	nzk
电	oae
昧	oaw
风	obi
昙	oby
显	ocy
知	odk
旱	oeg
朵	oem
晨	ofc
晨	ofcr
赈	ofc
赈	ofcb
旦	ofi
夙	ogd
申	ogs
败	ohp
息	ohx
凡	oid
时	okc
星	ols
晃	omg
臭	omq
早	ons
旺	onw
州	ooc
昌	oor
账	opc
则	opd
冒	oqm
曰	orr
凤	ory
赂	osg
是	ots
巡	ouc
雉	oui
晒	ovx
明	ovy
昨	owa
顺	owy
旷	oxg
暗	oxy
短	ozd
赵	pbi
归	pbj
娄	pbn
肆	pbv
召	pdk
赶	peg
粗	pfq
墨	pgt
趴	phb
籽	phi
忒	phx
跚	pic
刃	pid
跟	pig
粒	pil
料	pjd
臼	pjj
衍	pks
戒	plc
类	pmd
默	pmq
戎	pns
越	pnu
划	ppd
跻	pqq
帅	prj
跛	prp
路	psg
趾	psi
趟	pss
迷	puc
式	pug
起	pvj
衡	pwv
黯	pxy
赴	pyb
衔	pzj
町	qad
町	qadt
盯	qad
盯	qadm
聊	qbm
蚀	qcc
耿	qch
告	qdk
眠	qdm
果	qem
饮	qeq
犒	qgg
牡	qgt
具	qhb
孝	qhi
牧	qhp
思	qhx
眼	qig
累	qis
牲	qls
饥	qoj
者	qor
者	qorv
耆	qor
耆	qorl
耆	qorq
剂	qpd
先	qpe
眯	qpm
饵	qqe
取	qry
略	qsg
耻	qsi
男	qsl
耶	qte
进	quc
睢	qui
禺	qvr
牺	qvx
胃	qvy
颐	qwy
卧	qyb
固	rcg
笈	rcj
回	rdk
笛	rdy
竿	reg
观	rej
困	rem
欢	req
韭	rfi
圣	rgt
围	rgw
悲	rhx
叉	rid
艰	rig
笠	ril
囚	rjr
对	rkc
笙	rls
笆	rmb
因	rmd
竺	rme
圃	rnf
簧	rnh
笃	rnm
帐	rpc
切	rpd
戏	rpg
双	rry
劝	rsl
邓	rte
第	rtf
裴	rti
笼	rtl
帕	rub
辽	ruc
帷	rui
帷	ruij
难	rui
难	ruiy
笔	rvm
斐	rvw
颇	rwy
鸡	rxn
辈	ryc
东	ryx
翡	rzv
订	sad
话	sas
尝	sby
歧	sci
加	sdk
棠	sem
诅	sfq
堂	sgt
讳	sgw
详	sgy
办	shb
敞	shp
甲	sjj
论	sjl
认	sjr
讨	skc
该	skh
访	slf
讶	sly
出	smk
计	sns
赏	sob
训	soc
讥	soj
党	spe
讲	sqj
诽	srf
常	srj
设	srs
步	ssi
裳	sti
边	suc
谁	sui
谁	suiy
雒	sui
雒	suig
掌	sus
此	svb
记	svj
讪	svs
肯	svy
诈	swa
鸭	sxn
谙	sxy
诃	szk
诩	szv
甩	tae
血	tam
朱	taw
雪	tbj
蛋	tcc
哀	tdk
袖	tdy
欣	teq
衫	tes
震	tfc
丘	tfi
阻	tfq
际	tfs
壬	tgs
垄	tgt
兵	thb
失	thf
裕	thg
斥	tid
限	tig
系	tis
队	tjr
衬	tkc
么	tks
升	tlc
需	tle
防	tlf
靶	tmb
夭	tmd
隔	tng
费	tob
阳	tor
初	tpd
陡	tpz
聋	tqe
阱	tqj
雷	tqt
乏	tri
币	trj
被	trp
勒	tsl
袭	tti
靳	ttj
陇	ttl
近	tuc
霍	tui
雯	tvw
胥	tvy
胥	tvys
阴	tvy
阴	tvye
补	tyb
阵	tyc
阿	tzk
打	uad
扎	uae
魄	uag
扪	uam
括	uas
扫	ubj
焦	uch
技	uci
售	udk
售	udki
扣	udk
扣	udks
抿	udm
抚	udu
抽	udy
集	uem
振	ufc
搞	ugg
拘	ugj
扒	uhb
扶	uhf
攻	uhp
拉	uil
抒	uiv
抖	ujd
抡	ujl
拇	ukm
汞	uks
汞	uksg
泉	uks
泉	uksb
把	umb
护	umh
击	umk
拓	ums
捕	unf
隼	uns
皇	unw
贡	uob
扰	uoy
找	upg
捉	upu
看	uqm
挤	uqq
排	urf
帛	urj
披	urp
皂	urq
投	urs
扯	usi
押	usj
功	usl
拂	utf
折	utj
拢	utl
拥	uty
拍	uub
迫	uuc
扛	uug
推	uui
扔	uvn
扔	uvns
隽	uvn
隽	uvni
项	uwy
扩	uxg
抓	uya
扑	uyb
腼	vbm
要	vbn
炙	vch
岐	vci
岐	vcis
肢	vci
肢	vciy
岌	vcj
吝	vdk
岷	vdm
肝	veg
栗	vem
凸	vfi
票	vfs
嵩	vgg
肚	vgt
氧	vgy
肤	vhf
峪	vhg
孕	vhi
改	vhp
忌	vhx
紊	vis
己	vjj
以	vjr
豚	vjs
导	vkc
导	vkcs
肘	vkc
肘	vkcy
氦	vkh
异	vlc
斋	vle
肪	vlf
胜	vls
岁	vlx
肥	vmb
胱	vmg
毛	vmm
岩	vms
脯	vnf
贾	vob
肌	voj
旨	vor
胀	vpc
刘	vpd
粟	vpm
脐	vqq
腓	vrf
股	vrs
胳	vsg
岬	vsj
肋	vsl
氟	vtf
胧	vtl
这	vuc
肛	vug
崔	vui
比	vvb
岂	vvj
氖	vvn
朋	vvy
顷	vwy
宁	wad
安	wbn
律	wbv
灾	wch
吾	wdk
鲤	wdl
宙	wdy
宋	wem
次	weq
宸	wfc
宜	wfq
宗	wfs
龟	wgg
鲜	wgy
容	whg
字	whi
怎	whx
很	wig
家	wjs
守	wkc
官	wki
冰	wks
彷	wlf
头	wmd
宕	wms
冯	wnm
宰	wnx
冗	woj
鲁	wor
免	wpe
徒	wpz
宦	wqc
牢	wqn
徘	wrf
彼	wrp
役	wrs
客	wsg
农	wti
宠	wtl
定	wts
兔	wtt
逸	wuc
准	wui
它	wvb
鱼	wvv
冤	wwt
稣	wxh
军	wyc
室	wyi
厅	xad
秉	xbj
委	xbn
争	xbv
秋	xch
和	xdk
厘	xdl
庙	xdy
秆	xeg
床	xem
床	xemg
枭	xem
枭	xemn
歆	xeq
租	xfq
稿	xgg
庄	xgt
柬	xhb
禾	xhh
季	xhi
敕	xhp
意	xhx
久	xid
序	xiv
科	xjd
仄	xjr
私	xks
色	xmb
庆	xmd
庐	xmh
厌	xmq
章	xns
负	xob
秃	xoj
香	xor
利	xpd
利	xpdh
剌	xpd
剌	xpds
竟	xpe
反	xry
历	xsl
邝	xte
邝	xteg
邬	xte
邬	xteu
袅	xti
庞	xtl
角	xty
速	xuc
稚	xui
乌	xuu
秀	xvn
岛	xvs
库	xyc
尔	xyx
厄	xzj
轧	yae
当	ybj
妥	ybn
酝	yby
卢	ycs
占	ydk
轴	ydy
轩	yeg
觅	yej
采	yem
软	yeq
上	yfi
尘	ygt
孚	yhi
致	yhp
轮	yjl
轨	ykj
罗	ylx
爬	ymb
尖	ymd
辆	yml
辅	ynf
贞	yob
到	ypd
舀	ypj
罪	yrf
酪	ysg
郅	yte
斩	ytj
少	ytp
连	yuc
雀	yui
配	yvj
肖	yvy
酥	yxh
辘	yxl
酣	yzg
轲	yzk
钉	zad
魔	zag
躬	zbg
虐	zbj
亦	zch
虚	zcy
铀	zdy
某	zem
钦	zeq
彪	zes
卫	zfi
镐	zgg
其	zhb
虎	zhh
虑	zhx
银	zig
翌	zil
玄	ziy
射	zkc
磨	zms
铺	znf
针	zns
锌	znx
钡	zob
亢	zoj
钊	zpd
糜	zpm
亩	zqt
靡	zrf
市	zrj
殷	zrs
铬	zsg
钾	zsj
虏	zsl
躺	zss
邯	zte
逗	zuc
翟	zui
翟	zuix
锥	zui
锥	zuij
摩	zus
麾	zvm
虔	zvw
钥	zvy
卞	zyb
钳	zzg
哥	zzk
慧	aabh
彗	aabj
痫	aaem
疡	aaes
书	aagi
阚	aaqh
效	abhp
瘤	abqt
郊	abte
痰	acch
痞	acdk
癖	acdn
闾	addk
癌	addv
疙	aeai
司	afdk
舔	afmh
病	afmj
症	afsi
闺	aggt
痣	aghx
阖	agka
痔	agkc
装	agti
阅	ahdp
阐	ahqn
阙	ahse
疼	ahwb
奏	aifm
泰	aiks
蠢	aioc
春	aior
瘢	airs
奉	aius
秦	aixh
疹	ajes
痊	ajnw
阀	ajpg
疮	ajzj
阔	akas
丞	akfi
函	akmk
兖	akpe
承	akts
痛	akty
牒	alae
罐	aldu
桨	alem
瘩	aljd
瘀	aljw
将	alkc
浆	alks
奖	almd
酱	alyy
阉	amoa
牍	anam
缺	anjr
癫	anqw
闭	antp
迅	anuc
疱	anvs
瘟	aoam
疯	aobi
痴	aodk
瘪	aojl
瘦	apgr
熬	aphc
赘	apho
敖	aphp
鳌	aphw
契	apmd
憨	aqhh
敢	aqhp
痹	aqlc
痉	arug
瘫	arui
瘸	asdj
疵	asvb
虱	atcc
帮	atrj
瘾	atxh
那	aute
牌	autn
冀	avqh
背	avvy
静	avxb
癣	awgy
买	awmd
瘠	awwv
阑	axhb
疚	axid
艳	axmb
痪	axmm
瘴	axns
痢	axpd
阎	axpj
版	axry
癞	axxo
闹	azrj
姣	babi
娴	baem
妞	bagt
嫉	baos
婊	bati
娜	baut
樊	bbem
攀	bbeu
婚	bbor
媚	bcqm
妮	bcvb
娓	bcvm
强	bdcc
娉	bdfa
娱	bdfm
恕	bdhx
絮	bdis
娲	bdmj
娟	bdvy
刹	bepd
弑	bepu
婕	bfbs
娅	bfcy
妍	bflc
嫣	bfsc
印	bfzj
婷	bgad
疆	bgff
娃	bggt
嫌	bhbc
嬉	bhdk
婵	bhqn
弹	bhq
弹	bhqg
娘	biig
嫡	bimc
邸	bite
蠡	bjcc
始	bkdk
剥	bkpd
逮	bkuc
姨	bmbg
希	bnrj
肴	bnvy
妲	bofi
媳	bohx
娼	boor
嫂	bpgr
肃	bphb
彝	bpil
姚	bpww
弩	brbg
怒	brhx
姻	brmd
努	brsl
嫦	bsrj
群	btdg
君	btdk
郡	btdt
妊	btgs
妖	btmd
娇	btmp
媲	btrv
娥	btup
婿	btvy
婀	btzk
兜	bunp
婢	butn
嫖	bvfs
弱	bwbw
嫁	bwjs
婉	bwlz
婶	bwog
娩	bwpe
帚	bwrj
嫔	bwth
嫩	bxhp
弥	bxyx
媛	byfr
孵	byhi
妙	bytp
媒	bzem
弦	bziy
嬷	bztk
迎	bzuc
蛟	cabi
局	cadk
炀	caes
蜻	cavy
蚓	cbgs
烯	cbnr
烁	cbyx
烬	cciw
剧	ccpd
蝴	ccvy
燥	cdde
蜈	cdfm
炽	cdhb
蜗	cdmj
壁	cdng
璧	cdni
劈	cdnp
譬	cdns
擘	cdnb
避	cdnc
避	cdnu
臂	cdnv
辟	cdnx
蜥	cetj
蝠	cfdq
尉	cfkc
慰	cfkh
炳	cfmj
炖	cfsc
歪	cfsi
虾	cfyb
蛙	cggt
蟮	cghd
凿	cgmk
烽	chaf
烽	chah
蜂	chaf
蜂	chac
蜕	chdp
蜷	chhz
蚣	chks
屏	chlc
蝉	chqn
烂	chts
蚁	cibi
咫	cidh
焙	cidk
螂	ciit
熵	cimd
蛀	cinw
昼	ciof
迟	ciuc
尽	ciwb
螃	ciwl
蛤	cjdk
犀	ckqn
蛹	ckty
遣	ckuc
屉	clae
屉	clas
蝶	clae
蝶	clac
烘	clhb
殿	clhr
臀	clhv
蟒	clml
蟆	clom
蜡	clor
展	clti
炯	cmdk
燎	cmhy
蝙	cmic
遐	cmnu
煽	cmzv
灼	cnid
炬	cnnk
炮	cnvs
蜘	codk
焊	coeg
熄	cohx
熄	cohh
螅	cohx
螅	cohc
煜	coil
爆	colk
蝎	conf
遗	couc
屡	cpbn
兢	cpcp
烧	cpfp
烤	cqfa
螺	cqis
屠	cqor
蛔	crdk
烟	crmd
刷	crpd
炼	cryx
螳	csgt
屈	csmk
蛛	ctaw
属	ctdv
蚯	ctfi
蜓	ctgu
蠕	ctle
蟋	ctph
蟠	ctpq
蜒	ctsu
蛾	ctup
煌	cunw
煌	cunh
蝗	cunw
蝗	cunc
燃	cvmc
屁	cvvb
履	cweh
煊	cwff
熔	cwhg
蜿	cwlz
蛇	cwvb
蝌	cxjd
焕	cxmm
蟑	cxns
焰	cxpj
蟾	cxxs
炒	cytp
屑	cyvy
螭	czbv
煤	czem
蟀	czin
炫	cziy
炕	czoj
熠	czub
咬	dabi
叼	dafi
啧	daob
嗷	daph
哪	daut
喙	dbjs
唏	dbnr
啸	dbph
唷	dbvy
噼	dcdn
呸	dcfi
噗	dcgi
唰	dcrp
嘱	dctv
呢	dcvb
喔	dcyi
噪	ddde
品	dddk
患	ddgh
串	ddgs
器	ddmd
哭	ddmq
鄂	ddmt
颚	ddmw
鹗	ddmx
骂	ddnm
咒	ddoj
嚣	ddwd
吃	deai
噤	deef
喳	deof
号	dfae
饕	dfaq
哑	dfcy
吴	dfmd
吁	dfns
哽	dfob
嘎	dfop
吨	dfsc
吓	dfyb
嘈	dfyo
盅	dgam
哧	dgch
哇	dggt
忠	dghx
嚎	dgjs
咧	dgpd
哼	dgrl
嗟	dgug
噎	dgwz
吼	dhae
嘻	dhdk
嘭	dhes
嗡	dhkz
吩	dhpd
咚	dhwb
嗣	diad
墅	digt
咝	diis
啷	diit
咏	diks
嘀	dimc
哟	dini
啼	diwr
唧	dizj
吟	djae
啥	djas
哈	djdk
咻	djem
啄	djid
咐	djkc
喉	djno
哗	djvn
喻	djvp
呛	djzj
噙	djzv
嗨	dkek
唆	dkhh
唉	dkos
吮	dkpe
哞	dkqn
啵	dkrp
喋	dlae
哎	dlbi
哄	dlhb
嗒	dljd
嗬	dljz
唾	dllg
哆	dllx
喏	dlnd
噶	dlof
喵	dlqt
唠	dlws
咦	dmbg
呐	dmjr
哒	dmuc
呕	dnbi
囔	dndt
吻	dnes
喊	dnfd
喷	dnlo
喃	dnmg
嘲	dnov
嗔	dnqh
咂	dnrj
鄙	dnrt
郢	dnte
逞	dnuc
咆	dnvs
嗦	dnwi
嚏	dnwt
呻	dogs
嗅	domq
喝	donf
嘤	doob
唱	door
勋	dosl
喽	dpbn
嗖	dpgr
喂	dqft
哮	dqhi
嗜	dqor
嘟	dqot
嗫	dqrr
喟	dqvy
咽	drmd
嗯	drmh
嗓	drre
啜	drrr
噬	druj
咖	dsdk
嗤	dsfc
咄	dsmk
别	dspd
嘴	dsvt
啃	dsvy
嚷	dtdf
呼	dthn
嚅	dtle
响	dtmd
噢	dtmm
哦	dtup
啊	dtzk
啦	duil
嗥	dumn
啤	dutn
啪	duub
喘	dvle
鹃	dvxn
咛	dwad
咛	dwan
嗐	dwad
嗐	dwah
唔	dwdk
喧	dwff
嚓	dwhf
噜	dwor
喀	dwsg
哝	dwti
啾	dxch
嗽	dxeq
噫	dxhx
唤	dxmm
喇	dxpd
呃	dxzj
咔	dyfy
吵	dytp
哨	dyvy
嗳	dywr
嚼	dyyk
嘘	dzcy
嘶	dzht
啐	dzjn
吭	dzoj
校	eabi
榈	eadd
杨	eaes
椿	eaio
棒	eaiu
楔	eapm
橄	eaqh
梆	eate
迄	eauc
椽	ebjs
棣	ebks
梳	eboc
榴	ebqt
窘	ebtd
楣	ecqm
窟	ecsm
窜	eddg
窝	edmj
婪	eebn
焚	eech
森	eeem
彬	eees
禁	eefs
梅	eekm
梦	eelx
杵	eens
梵	eeoi
楚	eets
榨	eewa
麓	eexl
朽	efae
杖	efbi
柄	efmj
梗	efob
桓	efof
栈	efpg
槽	efyo
桔	egdk
桂	eggt
棱	eghh
椋	egyx
窥	ehej
邃	ehju
松	ehks
梯	ehtf
栏	ehts
橙	ehzd
概	eidu
榔	eiit
柱	einw
窈	eisl
橘	eitd
述	eiuc
榜	eiwl
桧	ejby
检	ejkf
栓	ejnw
桦	ejvn
榆	ejvp
枪	ejzj
毓	ekbo
梭	ekhh
繁	ekhi
敏	ekhp
桶	ekty
舞	elfv
模	elom
檬	elwj
棘	emem
桐	emfd
刺	empd
枣	emwb
椅	emzk
窦	enam
枢	enbi
构	enks
楠	enmg
柜	ennk
框	ennw
植	enqf
材	entp
枫	eobi
查	eofi
复	eohi
樱	eoob
棍	eovv
榻	eozv
楼	epbn
械	eplc
槛	epra
榄	epre
桃	epww
窖	eqdk
棵	eqe
棵	eqem
窠	eqex
窠	eqem
