的	〔白勹丶 · unid〕
题	〔日页 · otwy〕
场	〔土ㄋ · gaes〕
空	〔穴工 · eug〕
计	〔讠十 · sns〕
怎	〔乍心 · whx〕
光	〔光 · mg〕
管	〔⺮宀㠯 · rwki〕
非	〔非 · rf〕
德	〔彳十罒心 · wnyh〕
强	〔弓口虫 · bdcc〕
量	〔日一里 · ofdl〕
决	〔冫人 · wnjr〕
形	〔一廾彡 · fles〕
像	〔亻象 · jwx〕
期	〔月 · zhvy〕
资	〔冫欠贝 · weob〕
队	〔阝人 · tjr〕
清	〔氵龶⺝ · kavy〕
务	〔夂力 · hsl〕
嗯	〔口囗大心 · drmh〕
统	〔纟儿 · ibpe〕
书	〔ヿヿ丨丶 · aagi〕
市	〔亠巾 · zrj〕
司	〔㇆一口 · afdk〕
师	〔リ一巾 · pfrj〕
住	〔亻丶王 · jinw〕
即	〔卩 · izj〕
克	〔古儿 · cpe〕
带	〔冖巾 · lwrj〕
飞	〔飞 · cf〕
南	〔十冂 · nmgy〕
区	〔匸㐅 · nbi〕
李	〔木子 · ehi〕
则	〔贝刂 · opd〕
觉	〔⺍冖见 · kwej〕
交	〔六乂 · abi〕
社	〔礻土 · fgt〕
今	〔亽 · jae〕
基	〔土 · zhgt〕
北	〔匕 · avb〕
展	〔尸龷 · clti〕
传	〔亻二丶 · jmai〕
连	〔车辶 · yuc〕
叫	〔口丩 · dij〕
治	〔氵厶口 · kkdk〕
路	〔⻊各 · psg〕
万	〔一 · fpd〕
告	〔⺧口 · qdk〕
科	〔禾斗 · xjd〕
呢	〔口尸匕 · dcvb〕
思	〔田心 · qhx〕
达	〔大辶 · muc〕
记	〔讠己 · svj〕
转	〔二丶 · ymai〕
望	〔月王 · fvnw〕
边	〔力辶 · suc〕
快	〔忄人 · hnjr〕
风	〔⺇乂 · obi〕
色	〔⺈巴 · xmb〕
该	〔讠亥 · skh〕
界	〔田人 · qjpd〕
象	〔象 · wx〕
权	〔木又 · ery〕
拉	〔扌立 · uil〕
设	〔讠殳 · srs〕
且	〔且 · fq〕
取	〔耳又 · qry〕
干	〔干 · eg〕
收	〔丩攵 · ihp〕
步	〔止 · ssi〕
领	〔亽龴页 · jkwy〕
林	〔木木 · eem〕
根	〔木艮 · eig〕
往	〔彳丶王 · winw〕
亲	〔立木 · iem〕
极	〔木及 · ecj〕
求	〔一氺丶 · fkid〕
未	〔未 · aw〕
每	〔𠂉母 · ekm〕
程	〔禾口王 · xdnw〕
式	〔弋工 · pug〕
兵	〔 · thb〕
据	〔扌尸古 · uccg〕
类	〔米大 · pmd〕
言	〔言 · sy〕
规	〔夫见 · hej〕
吧	〔口巴 · dmb〕
品	〔口口口 · dddk〕
确	〔石⺈用 · mxty〕
观	〔又见 · rej〕
城	〔土戊㇆ · gnae〕
虽	〔口虫 · dcc〕
失	〔丿夫 · thf〕
格	〔木各 · esg〕
远	〔二儿辶 · mpuc〕
办	〔力八 · shb〕
元	〔二儿 · mpe〕
运	〔云辶 · buc〕
令	〔亽龴 · jks〕
共	〔龷八 · lhb〕
似	〔亻人 · jvjr〕
准	〔冫隹 · wui〕
请	〔讠龶⺝ · savy〕
武	〔一弋止 · fpsi〕
士	〔士 · gs〕
改	〔己攵 · vhp〕
英	〔艹大 · lmmd〕
术	〔木丶 · eid〕
车	〔车 · yc〕
石	〔石 · ms〕
深	〔氵冖八木 · kwhe〕
联	〔耳䒑大 · qhmd〕
争	〔⺈ · xbv〕
吗	〔口马 · dnm〕
院	〔阝宀二儿 · twmp〕
轻	〔ス工 · yrug〕
火	〔火 · ch〕
罗	〔罒夕 · ylx〕
百	〔一白 · fub〕
夫	〔夫 · hf〕
离	〔亠㐅凵禸 · zbmv〕
花	〔艹亻 · ljvb〕
近	〔斤辶 · tuc〕
切	〔七刀 · rpd〕
识	〔讠口八 · sdhb〕
造	〔⺧口辶 · qduc〕
组	〔纟且 · ifq〕
流	〔氵 · kboc〕
算	〔⺮目廾 · rqlc〕
布	〔𠂇巾 · nrj〕
导	〔巳寸 · vkc〕
早	〔日十 · ons〕
找	〔扌戈 · upg〕
候	〔亻丨矢 · jgno〕
满	〔氵艹两 · klml〕
服	〔月卩又 · vzry〕
官	〔宀㠯 · wki〕
整	〔束攵一止 · xhfs〕
爱	〔爫冖𠂇又 · ywnr〕
字	〔宀子 · whi〕
持	〔扌土寸 · ugkc〕
跟	〔⻊艮 · pig〕
突	〔穴犬 · emq〕
影	〔日小彡 · ogye〕
消	〔氵⺌⺝ · kyvy〕
随	〔阝𠂇⺝辶 · tnvu〕
吃	〔口𠂉乙 · deai〕
商	〔冂八口 · imhd〕
证	〔讠一止 · sfsi〕
单	〔丷田十 · hqns〕
议	〔讠丶乂 · sibi〕
越	〔走戉 · pnu〕
存	〔𠂇丨子 · nghi〕
击	〔凵 · umk〕
精	〔米龶⺝ · pavy〕
济	〔氵齐 · kqq〕
始	〔女厶口 · bkdk〕
台	〔厶口 · kdk〕
黑	〔黑 · ph〕
调	〔讠⺆土口 · smgd〕
需	〔⻗而 · tle〕
支	〔支 · ci〕
杀	〔㐅朩 · bem〕
团	〔囗丿 · rntp〕
功	〔工力 · usl〕
具	〔 · qhb〕
华	〔亻十 · jvns〕
脸	〔月亼⺍一 · vjkf〕
府	〔广亻寸 · xjkc〕
集	〔隹木 · uem〕
周	〔⺆土口 · mgdk〕
青	〔龶⺝ · avy〕
红	〔纟工 · iug〕
双	〔又又 · rry〕
九	〔九 · kj〕
八	〔八 · hb〕
片	〔片 · ap〕
半	〔丷 · hus〕
容	〔宀谷 · whg〕
曾	〔丷囗⺌曰 · hryo〕
啊	〔口阝可 · dtzk〕
阿	〔阝可 · tzk〕
落	〔艹氵各 · lksg〕
显	〔日业 · ocy〕
除	〔阝人 · tjxh〕
尽	〔尸㇏⺀ · ciwb〕
党	〔儿 · spe〕
照	〔日刀口灬 · opdc〕
众	〔人人人 · jjjr〕
备	〔夂田 · hqt〕
复	〔𠂉日夊 · eohi〕
陈	〔阝小 · tryx〕
断	〔米㇗斤 · patj〕
价	〔亻人 · jjpd〕
约	〔纟勹丶 · inid〕
写	〔冖一ㄅ一 · wfaf〕
包	〔勹巳 · nvs〕
级	〔纟及 · icj〕
另	〔口力 · dsl〕
病	〔疒一冂人 · afmj〕
质	〔⺁十贝 · xnob〕
称	〔禾小 · xxyx〕
倒	〔亻至刂 · jypd〕
江	〔氵工 · kug〕
绝	〔纟⺈巴 · ixmb〕
敌	〔舌攵 · ahp〕
黄	〔黄 · nh〕
技	〔扌支 · uci〕
六	〔六 · al〕
朝	〔十日十月 · nonv〕
派	〔氵⺁ · kxti〕
线	〔纟一戈 · ifpg〕
站	〔立⺊口 · iydk〕
究	〔穴九 · ekj〕
装	〔丬士衣 · agti〕
亚	〔一业 · fcy〕
首	〔䒑自 · hoi〕
刚	〔冂㐅刂 · mbpd〕
示	〔示 · fs〕
视	〔礻见 · fej〕
况	〔冫口儿 · wdpe〕
增	〔土丷囗曰 · ghro〕
谈	〔讠火火 · scch〕
惊	〔忄小 · hgyx〕
古	〔古 · cg〕
史	〔口 · dbi〕
谁	〔讠隹 · sui〕
引	〔弓丨 · bgs〕
须	〔彡页 · ewy〕
七	〔七 · rq〕
息	〔自心 · ohx〕
研	〔石一廾 · mflc〕
际	〔阝示 · tfs〕
器	〔口口犬口 · ddmd〕
易	〔日勹 · ones〕
留	〔田 · bqt〕
推	〔扌隹 · uui〕
坐	〔人人土 · jjgt〕
房	〔户方 · mlf〕
广	〔广 · xg〕
注	〔氵丶王 · kinw〕
查	〔木日一 · eofi〕
语	〔讠五口 · swdk〕
念	〔亽心 · jahx〕
若	〔艹𠂇口 · lndk〕
奇	〔大可 · mzk〕
紧	〔〢又糸 · pris〕
企	〔人止 · jsi〕
希	〔㐅𠂇巾 · bnrj〕
委	〔禾女 · xbn〕
响	〔口丿冂口 · dtmd〕
号	〔口一ㄅ · dfae〕
参	〔厶大彡 · kmes〕
势	〔扌九丶力 · ukis〕
历	〔厂力 · xsl〕
剑	〔亼⺍一刂 · jkfp〕
攻	〔工攵 · uhp〕
冷	〔冫亽龴 · wjks〕
投	〔扌殳 · urs〕
哪	〔口㇆阝 · daut〕
农	〔冖 · wti〕
专	〔二丶 · maid〕
图	〔囗夂⺀ · rhwb〕
考	〔耂一ㄅ · qfae〕
选	〔⺧儿辶 · qpuc〕
终	〔纟夂⺀ · ihwb〕
微	〔彳山一攵 · wvfh wvfo〕
皇	〔白王 · unw〕
土	〔土 · gt〕
局	〔尸㇆口 · cadk〕
星	〔日生 · ols〕
足	〔足 · pu〕
刘	〔文刂 · vpd〕
甚	〔㇗ · zhae〕
严	〔一厂 · fcxc〕
医	〔匸矢 · nos〕
男	〔田力 · qsl〕
营	〔艹冖口口 · lwdd〕
乎	〔丿丷 · thns〕
仅	〔亻又 · jry〕
父	〔八乂 · hbi〕
拿	〔亼口手 · jdus〕
孩	〔子亥 · hkh〕
答	〔⺮亼口 · rjdk〕
费	〔弗贝 · tob〕
标	〔木示 · efs〕
依	〔亻衣 · jti〕
兴	〔⺍ · khb〕
低	〔亻氏丶 · jbid〕
千	〔千 · lq〕
仍	〔亻乃 · jvn〕
急	〔⺈彐心 · xbhx〕
护	〔扌户 · umh〕
竟	〔音儿 · xpe〕
某	〔甘木 · zem〕
较	〔六乂 · yabi〕
防	〔阝方 · tlf〕
列	〔歹刂 · gpd〕
讲	〔讠井 · sqj〕
破	〔石皮 · mrp〕
客	〔宀各 · wsg〕
施	〔方𠂉也 · leey〕
故	〔古攵 · chp〕
血	〔丿皿 · tam〕
节	〔艹卩 · lzj〕
云	〔云 · by〕
龙	〔龙 · tl〕
钱	〔钅一戈 · zfpg〕
苏	〔艹力八 · lshb〕
母	〔母 · km〕
伤	〔亻𠂉力 · jesl〕
举	〔⺍ · khus〕
族	〔方𠂉矢 · leos〕
按	〔扌宀女 · uwbn〕
维	〔纟隹 · iui〕
修	〔亻丨夂彡 · jghe〕
帝	〔冖巾 · iwrj〕
河	〔氵可 · kzk〕
威	〔戊一女 · nfbn〕
巴	〔巴 · mb〕
划	〔戈刂 · ppd〕
致	〔至攵 · yhp〕
案	〔宀女木 · wbem〕
革	〔革 · tg〕
底	〔广氏丶 · xbid〕
送	〔䒑大辶 · hmuc〕
冲	〔冫口丨 · wdgs〕
音	〔音 · xy〕
态	〔大丶心 · mihx〕
够	〔句夕夕 · gllx〕
段	〔一殳 · ufrs〕
构	〔木勹厶 · enks〕
群	〔丿口羊 · btdg〕
船	〔舟几口 · iodk〕
责	〔龶贝 · aob〕
苦	〔艹古 · lcg〕
章	〔音十 · xns〕
律	〔彳聿 · wbv〕
愿	〔厂白小心 · xuyh〕
围	〔囗韦 · rgw〕
京	〔小 · gyx〕
衣	〔衣 · ti〕
喜	〔壴口 · hdk〕
独	〔犭虫 · mcc〕
效	〔六乂攵 · abhp〕
斗	〔斗 · jd〕
细	〔纟田 · iqt〕
怕	〔忄白 · hub〕
志	〔士心 · ghx〕
米	〔米 · pm〕
晚	〔日 · owpe〕
热	〔扌九丶灬 · ukic〕
项	〔工页 · uwy〕
料	〔米斗 · pjd〕
例	〔亻歹刂 · jgpd〕
灵	〔彐火 · bch〕
密	〔宀心丿山 · whtv〕
害	〔宀丰口 · wadk〕
供	〔亻龷八 · jlhb〕
属	〔尸丿口⽱ · ctdv〕
验	〔马亼⺍一 · njkf〕
境	〔土音儿 · gxpe〕
毛	〔毛 · vm vmm〕
般	〔舟殳 · irs〕
居	〔尸古 · ccg〕
继	〔纟米㇗ · ipae〕
错	〔钅龷日 · zlor〕
沉	〔氵冖几 · kwoj〕
采	〔爫木 · yem〕
既	〔旡 · idu〕
察	〔宀示 · whfs〕
否	〔不口 · cdk〕
批	〔扌匕 · uvvb〕
脑	〔月亠㐅凵 · vzbm〕
夜	〔亠亻 · zjvy〕
股	〔月殳 · vrs〕
速	〔束辶 · xuc〕
纪	〔纟己 · ivj〕
续	〔纟十乛大 · inam〕
假	〔亻二又 · jcmr〕
帮	〔阝巾 · atrj〕
乐	〔小 · byx〕
陆	〔阝凵 · tumk〕
型	〔一廾刂土 · flpg〕
退	〔艮辶 · iuc〕
友	〔𠂇又 · nry〕
铁	〔钅丿夫 · zthf〕
汉	〔氵又 · kry〕
暗	〔日音 · oxy〕
状	〔丬犬 · amq〕
左	〔𠂇工 · nug〕
句	〔句 · gj〕
雷	〔⻗田 · tqt〕
网	〔冂乂乂 · mbbi〕
率	〔亠幺冫十 · ziwn〕
值	〔亻十一 · jnqf〕
普	〔䒑业日 · hcor〕
承	〔乛水三 · akts〕
停	〔亻丁 · jgad〕
试	〔讠弋工 · spug〕
弹	〔弓丷田十 · bhqn〕
止	〔止 · si〕
职	〔耳口八 · qdhb〕
药	〔艹纟勹丶 · lini〕
久	〔㇏ · xid〕
印	〔一卩 · bfzj〕
卫	〔一 · zfi〕
助	〔且力 · fsl〕
掌	〔手 · sus〕
织	〔纟口八 · idhb〕
阳	〔阝日 · tor〕
待	〔彳土寸 · wgkc〕
初	〔衤刀 · tpd〕
追	〔丿㠯辶 · tkuc〕
木	〔木 · em〕
哈	〔口亼口 · djdk〕
您	〔亻小心 · jxyh〕
预	〔予页 · iwy〕
刻	〔亥刂 · kpd〕
创	〔人⺋刂 · jzpd〕
诉	〔讠斤丶 · stid〕
简	〔⺮门日 · raor〕
射	〔身寸 · zkc〕
限	〔阝艮 · tig〕
球	〔王一氺丶 · nfki〕
差	〔⺶工 · gug〕
树	〔木又寸 · erkc〕
校	〔木六乂 · eabi〕
兰	〔丷三 · hts〕
怪	〔忄又土 · hrgt〕
阵	〔阝车 · tyc〕
异	〔巳廾 · vlc〕
宗	〔宀示 · wfs〕
波	〔氵皮 · krp〕
育	〔⺝ · bvy〕
激	〔氵白方攵 · kulh〕
担	〔扌日一 · uofi〕
顿	〔一页 · fswy〕
游	〔氵方𠂉子 · kleh〕
充	〔儿 · bpe〕
银	〔钅艮 · zig〕
适	〔舌辶 · auc〕
省	〔𡭔丿目 · ytqm〕
胡	〔古月 · cvy〕
食	〔食 · qs〕
警	〔艹句攵言 · lghs〕
素	〔龶糸 · ais〕
尼	〔尸匕 · cvb〕
排	〔扌非 · urf〕
负	〔⺈贝 · xob〕
背	〔匕⺝ · avvy〕
忽	〔勹心 · nehx〕
酒	〔氵酉 · kyy〕
穿	〔穴牙 · ely〕
福	〔礻一口田 · ffdq〕
弟	〔丷𢎨 · htf〕
怀	〔忄不 · hcb〕
欢	〔又欠 · req〕
环	〔王不 · ncb〕
招	〔扌刀口 · updk〕
模	〔木艹日大 · elom〕
胜	〔月生 · vls〕
痛	〔疒龴 · akty〕
习	〔习 · zx〕
险	〔阝亼⺍一 · tjkf〕
财	〔贝丿 · ontp〕
益	〔皿 · kam〕
宝	〔宀王丶 · wnid〕
脚	〔月土厶卩 · vgkz〕
疑	〔匕矢龴疋 · vokt〕
乱	〔舌乚 · aae〕
赶	〔走干 · peg〕
坚	〔〢又土 · prgt〕
获	〔艹犭犬 · lmmq〕
劳	〔艹冖力 · lwsl〕
挥	〔扌冖车 · uwyc〕
敢	〔乛耳攵 · aqhp〕
置	〔罒十一 · ynqf〕
右	〔𠂇口 · ndk〕
压	〔厂土丶 · xgid〕
香	〔禾日 · xor〕
层	〔尸云 · cby〕
略	〔田各 · qsg〕
静	〔龶⺝⺈ · avxb〕
村	〔木寸 · ekc〕
范	〔艹氵⺋ · lkzj〕
源	〔氵厂白小 · kxuy〕
副	〔一口田刂 · fdqp〕
州	〔川 · ooc〕
纳	〔纟冂人 · imjr〕
岁	〔山夕 · vlx〕
罪	〔罒非 · yrf〕
余	〔人 · jxh〕
闻	〔门耳 · aqe〕
占	〔⺊口 · ydk〕
玉	〔王丶 · nid〕
哥	〔可 · zzk〕
杨	〔木ㄋ · eaes〕
忙	〔忄亡 · hfw〕
兄	〔口儿 · dpe〕
守	〔宀寸 · wkc〕
跑	〔⻊勹巳 · pnvs〕
述	〔木丶辶 · eiuc〕
座	〔广人人土 · xjjg〕
田	〔田 · qt〕
摇	〔扌爫缶 · uyaf〕
超	〔走刀口 · ppdk〕
演	〔氵宀一八 · kwfh〕
皮	〔皮 · rp〕
喝	〔口曰勹亾 · donf〕
买	〔乛⺀大 · awmd〕
佛	〔亻弗 · jtf〕
室	〔宀至 · wyi〕
角	〔⺈用 · xty〕
卡	〔⺊一卜 · yfyb〕
封	〔土土寸 · ggkc〕
策	〔⺮木冂 · remk〕
块	〔土人 · gnjr〕
富	〔宀一口田 · wfdq〕
判	〔丷刂 · hupd〕
配	〔酉己 · yvj〕
姑	〔女古 · bcg〕
优	〔亻尤 · joy〕
征	〔彳一止 · wfsi〕
善	〔羊䒑口 · ghdk〕
刀	〔刀 · pd〕
娘	〔女丶艮 · biig〕
降	〔阝夂㐄 · thvk〕
恶	〔一业心 · fchx〕
宣	〔宀一日一 · wfof〕
慢	〔忄曰罒又 · hoyr〕
积	〔禾口八 · xdhb〕
草	〔艹日十 · lons〕
恐	〔工几丶心 · uoih〕
妈	〔女马 · bnm〕
读	〔讠十乛大 · snam〕
靠	〔⺧口非 · qdrf〕
阶	〔阝人 · tjpd〕
楚	〔木木疋 · eets〕
姐	〔女且 · bfq〕
爸	〔八乂巴 · hbmb〕
执	〔扌九丶 · ukid〕
呼	〔口丿丷 · dthn〕
协	〔十力八 · nshb〕
洲	〔氵川 · kooc〕
巨	〔匚コ · nnk〕
免	〔 · wpe〕
检	〔木亼⺍一 · ejkf〕
养	〔⺶㇏ · gipd〕
顾	〔厂页 · xzwy〕
救	〔一氺丶攵 · fkih〕
份	〔亻八刀 · jhpd〕
控	〔扌穴工 · ueug〕
抗	〔扌亠几 · uzoj〕
著	〔艹耂日 · lqor〕
赵	〔走㐅 · pbi〕
肯	〔止⺝ · svy〕
露	〔⻗⻊各 · tpsg〕
换	〔扌⺈大 · uxmm〕
登	〔癶豆 · hzd〕
伊	〔亻丿 · jbtp〕
犯	〔犭⺋ · mzj〕
尚	〔尚 · ss〕
莫	〔艹日大 · lomd〕
危	〔⺈厂⺋ · xxzj〕
审	〔宀日丨 · wogs〕
掉	〔扌⺊日十 · uyon〕
亦	〔亠 · zch〕
沙	〔氵𡭔丿 · kytp〕
散	〔龷⺝攵 · lvhp〕
欧	〔匸㐅欠 · nbeq〕
唐	〔广肀口 · xbdk〕
枪	〔木人⺋ · ejzj〕
宫	〔宀口口 · wddk〕
魔	〔麻鬼 · zag〕
耳	〔耳 · qe〕
屋	〔尸至 · cyi〕
永	〔丶 · iks〕
孙	〔子小 · hyx〕
临	〔〢 · pror〕
圣	〔又土 · rgt〕
叶	〔口十 · dns〕
毫	〔毛 · gvm〕
宋	〔宀木 · wem〕
谢	〔讠身寸 · szkc〕
讨	〔讠寸 · skc〕
温	〔氵日皿 · koam〕
嘴	〔口匕用 · dsvt〕
航	〔舟亠几 · izoj〕
毒	〔龶母 · akm〕
呀	〔口牙 · dly〕
野	〔里予 · div〕
逃	〔儿冫辶 · pwwu〕
托	〔扌丿七 · utrq〕
伯	〔亻白 · jub〕
索	〔十冖糸 · nwis〕
岛	〔鸟山 · xvs〕
贵	〔贝 · cob〕
顺	〔川页 · owy〕
楼	〔木米女 · epbn〕
遇	〔田⽱辶 · qvuc〕
良	〔丶艮 · iig〕
朋	〔月月 · vvy〕
坏	〔土不 · gcb〕
亮	〔几 · goj〕
户	〔户 · mh〕
景	〔日小 · ogyx〕
烈	〔歹刂灬 · gpch〕
闪	〔门人 · ajr〕
礼	〔礻乚 · fae〕
艺	〔艹乙 · lai〕
互	〔一彑 · fbj〕
丝	〔纟纟 · iis〕
秘	〔禾心丿 · xhtp〕
渐	〔氵斤 · kytj〕
架	〔力口木 · sdem〕
鱼	〔鱼 · wv wvv〕
升	〔丿廾 · tlc〕
抓	〔扌爪 · uya〕
监	〔〢皿 · pram〕
君	〔丿口 · btdk〕
短	〔矢豆 · ozd〕
